Pile data
Pile Diameter:,3.000000,Pile Roughness:,0.000010
Morisson is,Drag coefficient:,0.700000,Inertia Coefficient:,1.500000,Reynolds:,6235196.362401
Valid
Wave data,time:,3.200000,location:,0.000000
Period:,18.000000,Wavelength:,174.584304,waterdepth:,10.000000, eta wave height:,0.876742
Drag Force [N] , Ineria Force [N],Acceleration [m/s^2],HorVelocity[m/s],Depth [m]
855.239581,-6937.007521,-0.637678,0.890996,0.376742
834.492953,-6852.351086,-0.629896,0.880122,-0.623258
816.137721,-6776.571030,-0.622930,0.870389,-1.623258
800.078744,-6709.569189,-0.616771,0.861783,-2.623258
786.232787,-6651.258770,-0.611410,0.854294,-3.623258
774.528082,-6601.564240,-0.606842,0.847911,-4.623258
764.903964,-6560.421225,-0.603060,0.842627,-5.623258
757.310546,-6527.776430,-0.600059,0.838434,-6.623258
751.708473,-6503.587567,-0.597836,0.835327,-7.623258
748.068707,-6487.823302,-0.596387,0.833302,-8.623258
746.372382,-6480.463216,-0.595710,0.832357,-9.623258
Total Drag,Total Inertia
8635.073940,-73088.393577
Total Force: ,-64453.319637

